user_id,email,terrain_tags,activity_style_tags
1,john@example.com,산;바다,힐링·여유;체험형
2,jane@example.com,숲;강·호수,야외활동;레저·액티비티
3,bob@example.com,섬;강·호수,문화·역사;축제·이벤트
4,user4@example.com,산;평야,체험형;농촌체험
5,user5@example.com,바다;섬,힐링·여유;해양레저
6,user6@example.com,숲;강·호수,야외활동;트레킹
7,user7@example.com,평야;강·호수,농촌체험;전통문화
8,user8@example.com,산;숲,힐링·여유;산림욕
9,user9@example.com,바다;해안,레저·액티비티;수상스포츠
10,user10@example.com,섬;바다,문화·역사;해양관광
11,user11@example.com,산;계곡,힐링·여유;자연치유
12,user12@example.com,평야;들판,농촌체험;수확체험
13,user13@example.com,바다;갯벌,체험형;갯벌체험
14,user14@example.com,숲;원시림,야외활동;생태탐방
15,user15@example.com,강·호수;습지,문화·역사;생태학습
16,user16@example.com,산;고원,레저·액티비티;등산
17,user17@example.com,섬;무인도,힐링·여유;명상
18,user18@example.com,평야;농촌,농촌체험;전통농업
19,user19@example.com,바다;연안,축제·이벤트;어촌축제
20,user20@example.com,숲;침엽수림,체험형;숲체험
21,user21@example.com,산;능선,야외활동;릿지워킹
22,user22@example.com,강·호수;댐,레저·액티비티;수상레저
23,user23@example.com,섬;유인도,문화·역사;섬문화
24,user24@example.com,평야;목장,힐링·여유;목장체험
25,user25@example.com,바다;해변,농촌체험;해안농업
26,user26@example.com,숲;활엽수림,축제·이벤트;숲축제
27,user27@example.com,산;정상,체험형;정상등반
28,user28@example.com,강·호수;계곡,야외활동;계곡트레킹
29,user29@example.com,섬;화산섬,레저·액티비티;화산트레킹
30,user30@example.com,평야;초원,문화·역사;유목문화
31,user31@example.com,바다;만,힐링·여유;만조감상
32,user32@example.com,숲;대나무숲,농촌체험;대나무체험
33,user33@example.com,산;암벽,축제·이벤트;암벽축제
34,user34@example.com,강·호수;폭포,체험형;폭포체험
35,user35@example.com,섬;산호섬,야외활동;산호관찰
36,user36@example.com,평야;벌판,레저·액티비티;들판달리기
37,user37@example.com,바다;절벽,문화·역사;해안절벽
38,user38@example.com,숲;편백숲,힐링·여유;편백힐링
39,user39@example.com,산;화산,농촌체험;화산농업
40,user40@example.com,강·호수;온천,축제·이벤트;온천축제
41,user41@example.com,섬;모래섬,체험형;모래체험
42,user42@example.com,평야;논,야외활동;논습지탐방
43,user43@example.com,바다;석호,레저·액티비티;석호카약
44,user44@example.com,숲;잣나무숲,문화·역사;잣나무문화
45,user45@example.com,산;사면,힐링·여유;사면산책
46,user46@example.com,강·호수;강변,농촌체험;강변농업
